년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2020/04/17,"84,100","2,800","6,205,624","525,538,253,400","83,600","85,900","83,200","61,224,999","728,002,365"
2020/04/16,"81,300","-1,000","4,470,072","363,739,453,100","80,600","82,300","80,600","59,186,592","728,002,365"
2020/04/14,"82,300","900","3,344,109","276,219,167,400","82,200","83,700","81,200","59,914,595","728,002,365"
2020/04/13,"81,400","-2,700","3,615,318","295,668,237,500","83,200","83,400","81,100","59,259,393","728,002,365"
2020/04/10,"84,100","-900","3,675,338","307,149,070,600","84,000","84,400","83,000","61,224,999","728,002,365"
2020/04/09,"85,000","500","3,555,538","303,325,533,115","86,200","86,500","84,500","61,880,201","728,002,365"
2020/04/08,"84,500","-1,300","3,749,575","320,975,559,100","85,800","86,500","84,500","61,516,200","728,002,365"
2020/04/07,"85,800","2,700","6,188,649","529,030,193,466","86,600","86,700","83,700","62,462,603","728,002,365"
2020/04/06,"83,100","3,500","5,784,159","472,063,035,650","81,000","83,300","80,200","60,496,997","728,002,365"
2020/04/03,"79,600","-400","3,755,301","299,316,905,200","80,000","80,800","78,500","57,948,988","728,002,365"
2020/04/02,"80,000","1,600","5,394,371","423,908,686,500","78,800","80,000","76,500","58,240,189","728,002,365"
2020/04/01,"78,400","-4,900","6,845,675","552,936,384,600","82,100","83,200","78,400","57,075,385","728,002,365"
2020/03/31,"83,300","-400","5,333,479","446,475,912,600","84,000","85,500","82,000","60,642,597","728,002,365"
2020/03/30,"83,700","400","5,270,037","433,405,493,300","81,000","84,900","80,000","60,933,798","728,002,365"
2020/03/27,"83,300","2,600","8,085,695","673,273,497,500","85,700","85,700","80,500","60,642,597","728,002,365"
2020/03/26,"80,700","-3,800","7,895,289","665,668,652,900","85,000","87,900","80,400","58,749,791","728,002,365"
2020/03/25,"84,500","5,800","8,787,217","723,676,328,900","82,000","84,700","79,800","61,516,200","728,002,365"
2020/03/24,"78,700","9,300","7,247,345","548,981,912,800","73,000","78,800","72,100","57,293,786","728,002,365"
2020/03/23,"69,400","-5,400","8,192,363","571,262,544,100","69,700","71,600","68,000","50,523,364","728,002,365"
2020/03/20,"74,800","5,800","8,750,101","641,208,325,400","71,800","76,200","70,100","54,454,577","728,002,365"
2020/03/19,"69,000","-4,100","11,140,367","779,503,807,600","75,500","75,800","65,800","50,232,163","728,002,365"
2020/03/18,"73,100","-7,300","7,949,482","623,664,695,334","81,600","82,500","73,000","53,216,973","728,002,365"
2020/03/17,"80,400","-200","7,107,436","569,068,819,100","77,500","83,100","77,000","58,531,390","728,002,365"
2020/03/16,"80,600","-1,900","5,097,762","420,941,604,000","83,700","84,800","80,400","58,676,991","728,002,365"
2020/03/13,"82,500","-300","8,160,758","651,864,081,500","76,900","84,700","76,000","60,060,195","728,002,365"
2020/03/12,"82,800","-2,700","8,191,818","675,100,578,672","83,800","84,600","79,600","60,278,596","728,002,365"
2020/03/11,"85,500","-3,600","5,226,251","452,031,290,600","88,200","88,500","85,100","62,244,202","728,002,365"
2020/03/10,"89,100","2,200","6,579,153","580,356,642,350","86,900","89,400","86,600","64,865,011","728,002,365"
2020/03/09,"86,900","-5,700","6,196,552","544,548,246,500","89,500","89,700","86,400","63,263,406","728,002,365"
2020/03/06,"92,600","-2,300","3,281,612","304,717,451,900","93,300","94,300","92,000","67,413,019","728,002,365"
2020/03/05,"94,900","600","4,028,776","381,457,640,000","95,200","95,900","93,800","69,087,424","728,002,365"
2020/03/04,"94,300","1,500","4,984,561","468,285,374,400","91,300","95,000","91,300","68,650,623","728,002,365"
2020/03/03,"92,800","700","5,573,006","524,304,568,800","95,000","95,100","92,400","67,558,619","728,002,365"
2020/03/02,"92,100","4,200","6,382,279","570,845,182,500","90,000","93,100","88,300","67,049,018","728,002,365"
2020/02/28,"87,900","-4,900","8,171,939","730,619,364,864","91,000","92,200","87,700","63,991,408","728,002,365"
2020/02/27,"92,800","-1,800","4,644,449","415,950,598,516","94,700","95,300","92,200","67,558,619","728,002,365"
2020/02/26,"94,600","-3,400","6,405,409","607,674,362,200","95,500","96,100","94,400","68,869,024","728,002,365"
2020/02/25,"98,000","-1,500","6,594,059","642,885,853,650","97,800","99,100","96,400","71,344,232","728,002,365"
2020/02/24,"99,500","-3,500","5,550,758","553,105,215,750","100,500","100,500","98,900","72,436,235","728,002,365"
2020/02/21,"103,000","-1,000","4,064,719","417,997,903,622","101,500","103,500","101,000","74,984,244","728,002,365"
2020/02/20,"104,000","500","3,093,782","322,602,810,500","104,500","106,000","102,500","75,712,246","728,002,365"
2020/02/19,"103,500","1,500","2,315,634","237,343,921,813","102,500","103,500","101,000","75,348,245","728,002,365"
2020/02/18,"102,000","-3,000","2,789,667","285,910,042,510","104,000","104,500","101,500","74,256,241","728,002,365"
2020/02/17,"105,000","500","1,190,162","125,043,016,000","104,500","106,000","103,500","76,440,248","728,002,365"
2020/02/14,"104,500","2,500","1,893,163","196,317,446,500","101,500","105,000","101,000","76,076,247","728,002,365"
2020/02/13,"102,000","2,000","3,519,491","360,061,639,000","101,000","103,500","100,500","74,256,241","728,002,365"
2020/02/12,"100,000","200","2,616,573","261,388,375,700","100,500","101,000","99,100","72,800,236","728,002,365"
2020/02/11,"99,800","1,000","1,820,578","181,889,222,300","99,900","100,500","99,000","72,654,636","728,002,365"
2020/02/10,"98,800","-500","1,825,648","179,314,948,100","98,000","99,200","97,400","71,926,634","728,002,365"
2020/02/07,"99,300","-1,200","1,827,393","181,411,610,600","100,000","100,500","98,400","72,290,635","728,002,365"
2020/02/06,"100,500","2,800","2,861,441","284,679,342,800","98,900","101,000","98,300","73,164,238","728,002,365"
2020/02/05,"97,700","600","2,911,995","285,265,098,200","99,300","99,300","96,900","71,125,831","728,002,365"
2020/02/04,"97,100","2,400","3,169,743","305,409,135,550","94,800","97,500","94,500","70,689,030","728,002,365"
2020/02/03,"94,700","1,200","3,725,535","349,297,577,165","91,800","95,600","91,500","68,941,824","728,002,365"
2020/01/31,"93,500","-500","4,597,139","437,668,470,967","94,500","97,500","93,500","68,068,221","728,002,365"
2020/01/30,"94,000","-3,900","3,223,436","307,740,532,800","97,800","97,800","93,800","68,432,222","728,002,365"
2020/01/29,"97,900","1,600","2,741,459","268,775,657,800","96,900","99,000","96,700","71,271,432","728,002,365"
2020/01/28,"96,300","-2,400","3,630,362","348,138,741,600","95,500","96,900","95,000","70,106,628","728,002,365"
2020/01/23,"98,700","-2,300","2,780,104","275,743,291,116","101,000","101,000","98,200","71,853,833","728,002,365"
2020/01/22,"101,000","1,700","2,257,478","226,671,660,200","99,000","101,000","99,000","73,528,239","728,002,365"
